i1 i2 i0 a
1 1 5 0
1 2 5 0
1 3 5 0
1 4 5 0
1 5 5 0
1 6 5 0
1 7 5 0
1 8 5 0
1 9 5 0
2 1 5 0
2 2 5 0
2 3 5 0
2 4 5 0
2 5 5 0
2 6 5 0
2 7 5 0
2 8 5 0
2 9 5 0
3 1 5 0
3 2 5 0
3 3 5 0
3 4 5 0
3 5 5 0
3 6 5 0
3 7 5 0
3 8 5 0
3 9 5 0
4 1 5 0
4 2 5 0
4 3 5 1
4 4 5 0
4 5 5 1
4 6 5 0
4 7 5 0
4 8 5 1
4 9 5 1
5 1 5 1
5 2 5 1
5 3 5 0
5 4 5 1
5 5 5 1
5 6 5 1
5 7 5 1
5 8 5 3
5 9 5 1
i1 i2 i0 a
1 1 5 0
1 2 5 0
1 3 5 0
1 4 5 0
1 5 5 0
1 6 5 0
1 7 5 0
1 8 5 0
1 9 5 0
2 1 5 0
2 2 5 0
2 3 5 0
2 4 5 0
2 5 5 0
2 6 5 0
2 7 5 0
2 8 5 0
2 9 5 0
3 1 5 0
3 2 5 0
3 3 5 0
3 4 5 0
3 5 5 0
3 6 5 0
3 7 5 0
3 8 5 0
3 9 5 0
4 1 5 0
4 2 5 0
4 3 5 1
4 4 5 0
4 5 5 1
4 6 5 0
4 7 5 0
4 8 5 1
4 9 5 1
5 1 5 1
5 2 5 1
5 3 5 0
5 4 5 1
5 5 5 1
5 6 5 1
5 7 5 1
5 8 5 3
5 9 5 1
i1 i2 i0 a
1 1 5 0
1 2 5 0
1 3 5 0
1 4 5 0
1 5 5 0
1 6 5 0
1 7 5 0
1 8 5 0
1 9 5 0
2 1 5 0
2 2 5 0
2 3 5 0
2 4 5 0
2 5 5 0
2 6 5 0
2 7 5 0
2 8 5 0
2 9 5 0
3 1 5 0
3 2 5 0
3 3 5 0
3 4 5 0
3 5 5 0
3 6 5 0
3 7 5 0
3 8 5 0
3 9 5 0
4 1 5 0
4 2 5 0
4 3 5 1
4 4 5 0
4 5 5 1
4 6 5 0
4 7 5 0
4 8 5 1
4 9 5 1
5 1 5 1
5 2 5 1
5 3 5 0
5 4 5 1
5 5 5 1
5 6 5 1
5 7 5 1
5 8 5 3
5 9 5 1
